Latitude,Longitude
-32.984334,151.672295
-32.934884,151.640972
-32.940741,151.709502
-32.939607,151.657913
-33.0873,151.637574
-32.963617,151.693932
-33.035961,151.659388
-33.01456999,151.596291
-33.108951,151.485892
-32.898847,151.738544
-32.902675,151.690939
-32.76033798,151.743789
-32.73578,152.106791
-32.75985,151.744329
-32.923558,151.744135
-32.740876,151.863682
-32.88701497,151.719096
-32.721927,152.143533
-32.835267,151.354525
-32.73445155,151.5537811
-32.56690168,151.1640529
-32.760851,151.592581
-32.715057,151.525699
-32.262768,150.890717
-32.047991,150.868775
-32.801225,151.657708
-32.702251,151.539209
-30.976832,150.250134
-31.273718,149.276481
-31.090813,150.919557
-30.512013,151.664587
-30.322448,149.780989
-29.467281,149.841515
-31.096698,150.936253
-30.282107,153.130606
-30.354226,153.090313
-30.29814199,153.114656
-29.740998,151.735084
-30.643395,153.003512
-30.110777,153.199564
-29.772327,151.111825
-30.7132,152.921579
-29.691874,152.936264
-31.078723,152.842323
-32.20190099,152.518677
-31.42735899,152.896955
-31.911251,152.459589
-31.631744,152.758379
-31.55315603,152.853967
-32.010229,151.958123
-32.176557,152.498603
-17.26170,145.47880
-16.92230,145.77700
-16.94400,145.74030
-16.46660,145.37240
-16.99000,145.74000
-16.92590,145.74060
-16.89600,145.69920
-16.83840,145.69240
-12.62650,141.88040
-19.27210,146.79220
-19.27840,146.80120
-18.64980,146.16140
-17.52480,146.03070
-17.89840,146.09220
-19.25350,146.69970
-19.26070,146.81530
-19.28680,146.76210
-19.24650,146.67630
-19.57370,147.40820
-20.00180,148.24040
-20.07690,146.26320
-19.31530,146.82030
-19.30360,146.74170
-20.72810,139.49210
-19.29950,146.76190
-19.36310,146.73100
-19.30000,146.72620
-19.31440,146.72540
-20.26990,148.71890
-21.09810,149.18470
-21.14020,149.17840
-20.29040,148.67330
-21.14700,148.95190
-21.11890,149.15970
-21.17530,149.15160
-20.40150,148.58600
-21.06590,149.16060
-21.42120,149.21680
-21.16130,149.06930
-23.39050,150.50320
-23.57260,148.89020
-23.51820,148.15570
-23.53350,148.17490
-23.43330,150.45300
-23.35380,150.52240
-23.35924,150.52433
-23.30440,150.51610
-23.13200,150.73680
-24.81790,152.45580
-24.40290,150.51370
-23.94760,151.35310
-24.87230,152.34970
-25.23370,152.26850
-23.84720,151.25880
-23.86960,151.24220
-23.89560,151.24570
-24.88800,152.31980
-25.97020,152.98670
-25.28680,152.81690
-26.19860,152.66740
-26.19930,152.65040
-25.28400,152.84260
-25.53640,152.70300
-26.41260,153.04980
-26.40100,153.06510
-26.39090,153.03830
-25.29270,152.89250
-26.68800,153.04990
-26.80230,153.12510
-26.71750,153.04940
-26.53840,153.07910
-26.77350,153.12410
-26.70380,153.13090
-26.65280,153.09180
-26.65650,153.08710
-26.69290,153.09170
-26.62580,152.96130
-26.83410,153.10810
-27.04390,153.13710
-26.85630,152.95480
-27.06380,153.15740
-27.15540,152.97510
-27.09400,152.95130
-27.07810,152.96460
-26.75860,152.85360
-27.10270,152.95010
-27.11640,152.95290
-27.17260,152.93800
-26.95190,152.77840
-27.32020,153.04190
-27.19430,153.02870
-27.25130,152.99920
-27.22540,153.08680
-27.24380,153.10710
-27.24090,153.01390
-27.26930,152.97570
-27.23060,153.11510
-27.21400,153.04540
-27.30710,152.99360
-27.29360,152.95210
-27.35950,152.96950
-27.36080,153.01390
-27.41030,152.97990
-27.34590,153.01240
-27.38080,153.03250
-27.37460,153.02490
-27.33760,152.96300
-27.40760,152.99180
-27.41600,152.95000
-27.39390,152.99650
-27.32070,153.06900
-27.42750,153.07290
-27.44480,152.99340
-27.37690,153.07760
-27.41530,153.08170
-27.46840,153.02760
-27.45080,153.04450
-27.40190,153.06010
-27.45880,152.99790
-27.46230,153.03000
-27.41170,153.01250
-27.35070,153.04890
-26.73980,150.62350
-27.56420,151.93180
-27.18080,151.26840
-27.45010,151.94520
-27.59500,151.95120
-26.53900,151.83630
